id,numberOfFeatures,numberOfHashes,numberOfHashTables,utilizedCoreFrequency,utilizedCores
0,16,6,8,600,2
1,512,6,8,600,2
2,1024,6,8,600,2
3,16,22,8,600,2
4,512,22,8,600,2
5,1024,22,8,600,2
6,16,6,24,600,2
7,512,6,24,600,2
8,1024,6,24,600,2
9,16,22,24,600,2
10,512,22,24,600,2
11,1024,22,24,600,2
12,16,6,8,1200,2
13,512,6,8,1200,2
14,1024,6,8,1200,2
15,16,22,8,1200,2
16,512,22,8,1200,2
17,1024,22,8,1200,2
18,16,6,24,1200,2
19,512,6,24,1200,2
20,1024,6,24,1200,2
21,16,22,24,1200,2
22,512,22,24,1200,2
23,1024,22,24,1200,2
24,16,6,8,600,4
25,512,6,8,600,4
26,1024,6,8,600,4
27,16,22,8,600,4
28,512,22,8,600,4
29,1024,22,8,600,4
30,16,6,24,600,4
31,512,6,24,600,4
32,1024,6,24,600,4
33,16,22,24,600,4
34,512,22,24,600,4
35,1024,22,24,600,4
36,16,6,8,1200,4
37,512,6,8,1200,4
38,1024,6,8,1200,4
39,16,22,8,1200,4
40,512,22,8,1200,4
41,1024,22,8,1200,4
42,16,6,24,1200,4
43,512,6,24,1200,4
44,1024,6,24,1200,4
45,16,22,24,1200,4
46,512,22,24,1200,4
47,1024,22,24,1200,4