id,me,qp,reframes,subme,utilizedCoreFrequency,utilizedCores
0,1,10,4,1,800,2
1,12,10,4,1,800,2
2,1,20,4,1,800,2
3,12,20,4,1,800,2
4,1,30,4,1,800,2
5,12,30,4,1,800,2
6,1,10,8,1,800,2
7,12,10,8,1,800,2
8,1,20,8,1,800,2
9,12,20,8,1,800,2
10,1,30,8,1,800,2
11,12,30,8,1,800,2
12,1,10,4,5,800,2
13,12,10,4,5,800,2
14,1,20,4,5,800,2
15,12,20,4,5,800,2
16,1,30,4,5,800,2
17,12,30,4,5,800,2
18,1,10,8,5,800,2
19,12,10,8,5,800,2
20,1,20,8,5,800,2
21,12,20,8,5,800,2
22,1,30,8,5,800,2
23,12,30,8,5,800,2
24,1,10,4,1,1400,2
25,12,10,4,1,1400,2
26,1,20,4,1,1400,2
27,12,20,4,1,1400,2
28,1,30,4,1,1400,2
29,12,30,4,1,1400,2
30,1,10,8,1,1400,2
31,12,10,8,1,1400,2
32,1,20,8,1,1400,2
33,12,20,8,1,1400,2
34,1,30,8,1,1400,2
35,12,30,8,1,1400,2
36,1,10,4,5,1400,2
37,12,10,4,5,1400,2
38,1,20,4,5,1400,2
39,12,20,4,5,1400,2
40,1,30,4,5,1400,2
41,12,30,4,5,1400,2
42,1,10,8,5,1400,2
43,12,10,8,5,1400,2
44,1,20,8,5,1400,2
45,12,20,8,5,1400,2
46,1,30,8,5,1400,2
47,12,30,8,5,1400,2
48,1,10,4,1,800,3
49,12,10,4,1,800,3
50,1,20,4,1,800,3
51,12,20,4,1,800,3
52,1,30,4,1,800,3
53,12,30,4,1,800,3
54,1,10,8,1,800,3
55,12,10,8,1,800,3
56,1,20,8,1,800,3
57,12,20,8,1,800,3
58,1,30,8,1,800,3
59,12,30,8,1,800,3
60,1,10,4,5,800,3
61,12,10,4,5,800,3
62,1,20,4,5,800,3
63,12,20,4,5,800,3
64,1,30,4,5,800,3
65,12,30,4,5,800,3
66,1,10,8,5,800,3
67,12,10,8,5,800,3
68,1,20,8,5,800,3
69,12,20,8,5,800,3
70,1,30,8,5,800,3
71,12,30,8,5,800,3
72,1,10,4,1,1400,3
73,12,10,4,1,1400,3
74,1,20,4,1,1400,3
75,12,20,4,1,1400,3
76,1,30,4,1,1400,3
77,12,30,4,1,1400,3
78,1,10,8,1,1400,3
79,12,10,8,1,1400,3
80,1,20,8,1,1400,3
81,12,20,8,1,1400,3
82,1,30,8,1,1400,3
83,12,30,8,1,1400,3
84,1,10,4,5,1400,3
85,12,10,4,5,1400,3
86,1,20,4,5,1400,3
87,12,20,4,5,1400,3
88,1,30,4,5,1400,3
89,12,30,4,5,1400,3
90,1,10,8,5,1400,3
91,12,10,8,5,1400,3
92,1,20,8,5,1400,3
93,12,20,8,5,1400,3
94,1,30,8,5,1400,3
95,12,30,8,5,1400,3
96,1,10,4,1,800,4
97,12,10,4,1,800,4
98,1,20,4,1,800,4
99,12,20,4,1,800,4
100,1,30,4,1,800,4
101,12,30,4,1,800,4
102,1,10,8,1,800,4
103,12,10,8,1,800,4
104,1,20,8,1,800,4
105,12,20,8,1,800,4
106,1,30,8,1,800,4
107,12,30,8,1,800,4
108,1,10,4,5,800,4
109,12,10,4,5,800,4
110,1,20,4,5,800,4
111,12,20,4,5,800,4
112,1,30,4,5,800,4
113,12,30,4,5,800,4
114,1,10,8,5,800,4
115,12,10,8,5,800,4
116,1,20,8,5,800,4
117,12,20,8,5,800,4
118,1,30,8,5,800,4
119,12,30,8,5,800,4
120,1,10,4,1,1400,4
121,12,10,4,1,1400,4
122,1,20,4,1,1400,4
123,12,20,4,1,1400,4
124,1,30,4,1,1400,4
125,12,30,4,1,1400,4
126,1,10,8,1,1400,4
127,12,10,8,1,1400,4
128,1,20,8,1,1400,4
129,12,20,8,1,1400,4
130,1,30,8,1,1400,4
131,12,30,8,1,1400,4
132,1,10,4,5,1400,4
133,12,10,4,5,1400,4
134,1,20,4,5,1400,4
135,12,20,4,5,1400,4
136,1,30,4,5,1400,4
137,12,30,4,5,1400,4
138,1,10,8,5,1400,4
139,12,10,8,5,1400,4
140,1,20,8,5,1400,4
141,12,20,8,5,1400,4
142,1,30,8,5,1400,4
143,12,30,8,5,1400,4