id,maxDocuments,utilizedCoreFrequency,utilizedCores
0,50,800,2
1,70,800,2
2,100,800,2
3,150,800,2
4,170,800,2
5,200,800,2
6,50,1400,2
7,70,1400,2
8,100,1400,2
9,150,1400,2
10,170,1400,2
11,200,1400,2
12,50,800,3
13,70,800,3
14,100,800,3
15,150,800,3
16,170,800,3
17,200,800,3
18,50,1400,3
19,70,1400,3
20,100,1400,3
21,150,1400,3
22,170,1400,3
23,200,1400,3
24,50,800,4
25,70,800,4
26,100,800,4
27,150,800,4
28,170,800,4
29,200,800,4
30,50,1400,4
31,70,1400,4
32,100,1400,4
33,150,1400,4
34,170,1400,4
35,200,1400,4