id,me,reframes,subme,utilizedCoreFrequency,utilizedCores
0,1,4,1,800,2
1,12,4,1,800,2
2,16,4,1,800,2
3,1,8,1,800,2
4,12,8,1,800,2
5,16,8,1,800,2
6,1,16,1,800,2
7,12,16,1,800,2
8,16,16,1,800,2
9,1,4,2,800,2
10,12,4,2,800,2
11,16,4,2,800,2
12,1,8,2,800,2
13,12,8,2,800,2
14,16,8,2,800,2
15,1,16,2,800,2
16,12,16,2,800,2
17,16,16,2,800,2
18,1,4,3,800,2
19,12,4,3,800,2
20,16,4,3,800,2
21,1,8,3,800,2
22,12,8,3,800,2
23,16,8,3,800,2
24,1,16,3,800,2
25,12,16,3,800,2
26,16,16,3,800,2
27,1,4,4,800,2
28,12,4,4,800,2
29,16,4,4,800,2
30,1,8,4,800,2
31,12,8,4,800,2
32,16,8,4,800,2
33,1,16,4,800,2
34,12,16,4,800,2
35,16,16,4,800,2
36,1,4,5,800,2
37,12,4,5,800,2
38,16,4,5,800,2
39,1,8,5,800,2
40,12,8,5,800,2
41,16,8,5,800,2
42,1,16,5,800,2
43,12,16,5,800,2
44,16,16,5,800,2
45,1,4,1,1400,2
46,12,4,1,1400,2
47,16,4,1,1400,2
48,1,8,1,1400,2
49,12,8,1,1400,2
50,16,8,1,1400,2
51,1,16,1,1400,2
52,12,16,1,1400,2
53,16,16,1,1400,2
54,1,4,2,1400,2
55,12,4,2,1400,2
56,16,4,2,1400,2
57,1,8,2,1400,2
58,12,8,2,1400,2
59,16,8,2,1400,2
60,1,16,2,1400,2
61,12,16,2,1400,2
62,16,16,2,1400,2
63,1,4,3,1400,2
64,12,4,3,1400,2
65,16,4,3,1400,2
66,1,8,3,1400,2
67,12,8,3,1400,2
68,16,8,3,1400,2
69,1,16,3,1400,2
70,12,16,3,1400,2
71,16,16,3,1400,2
72,1,4,4,1400,2
73,12,4,4,1400,2
74,16,4,4,1400,2
75,1,8,4,1400,2
76,12,8,4,1400,2
77,16,8,4,1400,2
78,1,16,4,1400,2
79,12,16,4,1400,2
80,16,16,4,1400,2
81,1,4,5,1400,2
82,12,4,5,1400,2
83,16,4,5,1400,2
84,1,8,5,1400,2
85,12,8,5,1400,2
86,16,8,5,1400,2
87,1,16,5,1400,2
88,12,16,5,1400,2
89,16,16,5,1400,2
90,1,4,1,800,3
91,12,4,1,800,3
92,16,4,1,800,3
93,1,8,1,800,3
94,12,8,1,800,3
95,16,8,1,800,3
96,1,16,1,800,3
97,12,16,1,800,3
98,16,16,1,800,3
99,1,4,2,800,3
100,12,4,2,800,3
101,16,4,2,800,3
102,1,8,2,800,3
103,12,8,2,800,3
104,16,8,2,800,3
105,1,16,2,800,3
106,12,16,2,800,3
107,16,16,2,800,3
108,1,4,3,800,3
109,12,4,3,800,3
110,16,4,3,800,3
111,1,8,3,800,3
112,12,8,3,800,3
113,16,8,3,800,3
114,1,16,3,800,3
115,12,16,3,800,3
116,16,16,3,800,3
117,1,4,4,800,3
118,12,4,4,800,3
119,16,4,4,800,3
120,1,8,4,800,3
121,12,8,4,800,3
122,16,8,4,800,3
123,1,16,4,800,3
124,12,16,4,800,3
125,16,16,4,800,3
126,1,4,5,800,3
127,12,4,5,800,3
128,16,4,5,800,3
129,1,8,5,800,3
130,12,8,5,800,3
131,16,8,5,800,3
132,1,16,5,800,3
133,12,16,5,800,3
134,16,16,5,800,3
135,1,4,1,1400,3
136,12,4,1,1400,3
137,16,4,1,1400,3
138,1,8,1,1400,3
139,12,8,1,1400,3
140,16,8,1,1400,3
141,1,16,1,1400,3
142,12,16,1,1400,3
143,16,16,1,1400,3
144,1,4,2,1400,3
145,12,4,2,1400,3
146,16,4,2,1400,3
147,1,8,2,1400,3
148,12,8,2,1400,3
149,16,8,2,1400,3
150,1,16,2,1400,3
151,12,16,2,1400,3
152,16,16,2,1400,3
153,1,4,3,1400,3
154,12,4,3,1400,3
155,16,4,3,1400,3
156,1,8,3,1400,3
157,12,8,3,1400,3
158,16,8,3,1400,3
159,1,16,3,1400,3
160,12,16,3,1400,3
161,16,16,3,1400,3
162,1,4,4,1400,3
163,12,4,4,1400,3
164,16,4,4,1400,3
165,1,8,4,1400,3
166,12,8,4,1400,3
167,16,8,4,1400,3
168,1,16,4,1400,3
169,12,16,4,1400,3
170,16,16,4,1400,3
171,1,4,5,1400,3
172,12,4,5,1400,3
173,16,4,5,1400,3
174,1,8,5,1400,3
175,12,8,5,1400,3
176,16,8,5,1400,3
177,1,16,5,1400,3
178,12,16,5,1400,3
179,16,16,5,1400,3
180,1,4,1,800,4
181,12,4,1,800,4
182,16,4,1,800,4
183,1,8,1,800,4
184,12,8,1,800,4
185,16,8,1,800,4
186,1,16,1,800,4
187,12,16,1,800,4
188,16,16,1,800,4
189,1,4,2,800,4
190,12,4,2,800,4
191,16,4,2,800,4
192,1,8,2,800,4
193,12,8,2,800,4
194,16,8,2,800,4
195,1,16,2,800,4
196,12,16,2,800,4
197,16,16,2,800,4
198,1,4,3,800,4
199,12,4,3,800,4
200,16,4,3,800,4
201,1,8,3,800,4
202,12,8,3,800,4
203,16,8,3,800,4
204,1,16,3,800,4
205,12,16,3,800,4
206,16,16,3,800,4
207,1,4,4,800,4
208,12,4,4,800,4
209,16,4,4,800,4
210,1,8,4,800,4
211,12,8,4,800,4
212,16,8,4,800,4
213,1,16,4,800,4
214,12,16,4,800,4
215,16,16,4,800,4
216,1,4,5,800,4
217,12,4,5,800,4
218,16,4,5,800,4
219,1,8,5,800,4
220,12,8,5,800,4
221,16,8,5,800,4
222,1,16,5,800,4
223,12,16,5,800,4
224,16,16,5,800,4
225,1,4,1,1400,4
226,12,4,1,1400,4
227,16,4,1,1400,4
228,1,8,1,1400,4
229,12,8,1,1400,4
230,16,8,1,1400,4
231,1,16,1,1400,4
232,12,16,1,1400,4
233,16,16,1,1400,4
234,1,4,2,1400,4
235,12,4,2,1400,4
236,16,4,2,1400,4
237,1,8,2,1400,4
238,12,8,2,1400,4
239,16,8,2,1400,4
240,1,16,2,1400,4
241,12,16,2,1400,4
242,16,16,2,1400,4
243,1,4,3,1400,4
244,12,4,3,1400,4
245,16,4,3,1400,4
246,1,8,3,1400,4
247,12,8,3,1400,4
248,16,8,3,1400,4
249,1,16,3,1400,4
250,12,16,3,1400,4
251,16,16,3,1400,4
252,1,4,4,1400,4
253,12,4,4,1400,4
254,16,4,4,1400,4
255,1,8,4,1400,4
256,12,8,4,1400,4
257,16,8,4,1400,4
258,1,16,4,1400,4
259,12,16,4,1400,4
260,16,16,4,1400,4
261,1,4,5,1400,4
262,12,4,5,1400,4
263,16,4,5,1400,4
264,1,8,5,1400,4
265,12,8,5,1400,4
266,16,8,5,1400,4
267,1,16,5,1400,4
268,12,16,5,1400,4
269,16,16,5,1400,4