id,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,runningTime,systemEnergy,time,windowSize
0,-1,29462149.34,151063.4725,199.5,0.047496002,21.05440382,3180551.352,9.292735646,1.29702E+11,1574259543,40
1,-1,39628145.61,199673.5475,199.5,0.061564974,16.24300202,3243297.835,12.22655112,1.29773E+11,1574259565,40
2,-1,57078684.24,280473.8625,199.5,0.087131004,11.47697089,3218990.354,17.62491507,1.29871E+11,1574259595,40
3,-1,76989459.26,388280.7325,199.5,0.122531967,8.161135605,3168811.711,24.34589946,1.30004E+11,1574259637,40
4,-1,88003184.86,442574.3925,199.5,0.137387921,7.278660275,3221348.649,27.1838169,1.30171E+11,1574259689,40
5,-1,104110801.2,518708.6825,199.5,0.161889113,6.177067648,3204098.622,32.48029975,1.30365E+11,1574259749,40
6,-1,26201289.56,130223.36,199.5,0.027023677,37.00458644,4818861.582,5.425775023,1.30495E+11,1574259787,40
7,-1,34519601.59,170732.6,199.5,0.035332103,28.30287202,4832222.928,7.131593136,1.30555E+11,1574259800,40
8,-1,46786919.95,234319.6175,199.5,0.048851589,20.47016323,4796560.818,9.712509282,1.30636E+11,1574259816,40
9,-1,68254113.41,343636.81,199.5,0.070599645,14.1643771,4867401.361,14.00438036,1.30752E+11,1574259840,40
10,-1,79261402.5,392455.055,199.5,0.080452919,12.42962981,4878071.049,16.2729783,1.30901E+11,1574259871,40
11,-1,91651532.82,453096.8325,199.5,0.093701831,10.6721501,4835517.407,18.85518629,1.31071E+11,1574259906,40
12,-1,27335089.28,135567.745,199.5,0.03931381,25.436354,3448349.152,7.921295729,1.31188E+11,1574259933,40
13,-1,35469377.57,176106.1425,199.5,0.04968972,20.12488689,3544116.198,9.99605809,1.31251E+11,1574259950,40
14,-1,49515404.95,244417.0875,199.5,0.068013316,14.70300307,3593665.189,13.81504218,1.31336E+11,1574259974,40
15,-1,68321662.97,338180.5925,199.5,0.09243483,10.81843283,3658584.023,18.67395752,1.31453E+11,1574260007,40
16,-1,77166608.6,382235.97,199.5,0.104216453,9.595413898,3667712.339,21.02903301,1.31598E+11,1574260046,40
17,-1,92202967.36,456761.06,199.5,0.122597498,8.156773333,3725696.434,24.72197446,1.31766E+11,1574260092,40
18,-1,24451911.2,122084.3475,199.5,0.023805849,42.00648344,5128334.122,4.761548803,1.31881E+11,1574260121,40
19,-1,31635676.48,157269.34,199.5,0.029612163,33.76990697,5310970.981,5.946378401,1.31938E+11,1574260132,40
20,-1,44242245.03,220058.185,199.5,0.040145212,24.90957053,5481554.88,8.043764177,1.32013E+11,1574260146,40
21,-1,62220855.29,310570.95,199.5,0.055256168,18.09752725,5620566.232,11.06483506,1.3212E+11,1574260165,40
22,-1,67639710.47,342960.245,199.5,0.060484622,16.53312817,5670205.688,12.02799297,1.3225E+11,1574260188,40
23,-1,81216350,406900.35,199.5,0.070981756,14.08812701,5732463.81,14.10381784,1.32402E+11,1574260214,40
24,-1,21823490.32,108201.775,199.5,0.025023733,39.96206356,4323966.21,5.026472623,1.32505E+11,1574260234,40
25,-1,28253194.81,144769.8375,199.5,0.033336889,29.99680064,4342631.955,6.488144428,1.32555E+11,1574260245,40
26,-1,41152962.67,208639.7575,199.5,0.047367038,21.11172747,4404745.699,9.314106234,1.32627E+11,1574260262,40
27,-1,58843056.86,291583.885,199.5,0.065460628,15.27635812,4454339.848,13.2237884,1.32728E+11,1574260285,40
28,-1,66297514.62,333791.86,199.5,0.074009275,13.51182,4510135.53,14.68857257,1.32853E+11,1574260312,40
29,-1,76287355.86,384480.225,199.5,0.085246097,11.73074229,4510238.433,16.89701991,1.32997E+11,1574260344,40
30,-1,20865797.69,103907.665,199.5,0.014261186,70.12039764,7286046.788,2.863806347,1.33096E+11,1574260365,40
31,-1,27177052.21,135446.2825,199.5,0.018355885,54.47844244,7378902.505,3.684906614,1.33144E+11,1574260371,40
32,-1,39337973.7,196363.185,199.5,0.026104831,38.30708562,7522101.34,5.229897117,1.3321E+11,1574260380,40
33,-1,54293613.34,272439.33,199.5,0.035864671,27.88259195,7596314.67,7.159226369,1.33304E+11,1574260393,40
34,-1,62618470.77,316045.9375,199.5,0.041410353,24.14855072,7632051.353,8.208765828,1.33422E+11,1574260408,40
35,-1,74567333.96,370155.9225,199.5,0.048717716,20.52641395,7597973.691,9.814331036,1.33561E+11,1574260426,40